"station","POSIXtime","parsivelStatus","precipCode","parsivelR","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","class31","class32"
"Payerne MCH Roof",2014-04-08 05:46:00,0,0,0.946,0,0,8.52352963393861,43.2508544538212,102.819769120327,112.07838238632,177.984750692798,116.112424300171,78.1489374907846,39.15663129359,18.3469981248613,8.8761723388395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:46:30,0,0,0.966,0,0,7.87613977551829,58.3235438455193,168.548371649938,132.119400429988,154.528895045823,94.3413447438896,94.1794887709454,39.15663129359,21.243892565629,3.09633918796727,2.17356090812589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:47:00,0,0,0.831,0,0,8.86426113837036,49.5416054248863,118.067821770662,168.155291652105,136.996868766181,44.7826764661987,69.4657222140304,23.2285100894178,14.1625950437526,11.5596663017444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:47:30,0,0,1.139,0,0,12.370881018845,63.9614349857407,256.400381801858,229.270457656638,163.747235244865,143.454229360041,103.452769986418,106.818241648388,33.5864623168477,6.64714647990731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:48:00,0,0,1.306,0,0,16.2599252939656,106.707152004507,195.387937201064,145.706348720366,75.4807667149307,159.733471564378,147.789671409169,49.7397919126082,52.1169242847637,3.83489219994653,0,4.46841875483911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:48:30,0,0,1.474,0,0,6.77612221572773,74.1113561611711,187.535998320033,98.0137295232781,151.172121459755,180.372597210052,96.0632864159602,28.5392248678899,47.7738472610334,17.1291851597611,5.785040264749,2.35833212060953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:49:00,0,0,1.29,0,0,9.96456510334755,28.1530765545397,177.895639664333,175.702325740624,113.025604044637,232.058312200066,64.0421909439732,67.678733258139,21.7153851186516,6.64714647990731,2.55222364621279,2.35833212060953,1.8204145992832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:49:30,0,0,1.286,0,0,10.0472853087589,54.5822345010553,143.632393225458,170.689127578857,172.072482026682,116.339394485327,60.7579760237695,103.5566159492,38.5086162770754,16.6178661997683,2.55222364621279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:50:00,0,0,1.284,0,0,11.7170446646959,22.0642693101506,119.778659189429,275.034338539125,206.616941330468,174.881377790343,121.515952047539,55.4476368861862,30.4015391661122,7.15846543990018,2.8925201323745,2.35833212060953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:50:30,0,0,1.539,0,0,7.59822527866529,42.6706551955883,138.112224994162,171.649517543032,174.788064812175,253.505330420366,96.0632864159602,48.1089790630145,26.8481125103328,13.8056119198075,5.44474377858729,0,0,0.698151295059879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:51:00,0,0,1.097,0,0,7.55626786556481,72.8329156295641,195.699077284708,129.783607431546,212.543490171776,233.681097600066,147.789671409169,76.6482039309044,3.76400008723293,13.8056119198075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:51:30,0,0,1.427,0,0,9.3293036456231,61.3500117791563,152.128989134974,99.0741844910331,145.215488614177,138.788721335039,73.0737819745335,58.7092625853736,30.4015391661122,3.32357323995366,8.33726391096178,7.07499636182859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:52:00,0,0,1.394,0,0,3.38806110786387,91.2000013742097,126.930507454009,165.276839753692,206.797445356091,124.777878565329,89.4948565755522,8.96947067276541,39.8773435815238,29.6564996795865,5.785040264749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
